Date,Time,Transect #,Station #,CTD Cast #,SciGPS-Lat,SciGPS-Lon,EK-38kHz-DepthBelowSurface-M-VALUE,ES-50kHz-DepthBelowTransducer-M
6/13/19,20:41:56,,,,4419.7905N,12419.1427W,77.26,84.62
6/13/19,20:58:37,,,1,4419.7893N,12419.1425W,77.48,85.04
6/13/19,22:58:49,,,,4418.4067N,12418.4701W,74.81,81.13
6/16/19,13:12:54,,Monterey Bay,2,3638.1692N,12153.0783W,61.04,68.78
6/16/19,20:36:41,,Monterey Bay,3,3638.1650N,12153.0805W,63.04,69.69
6/17/19,11:20:34,1,7,4,3423.8309N,12059.9234W,1121.47,0
6/17/19,12:30:50,,9,5,3423.7005N,12108.7306W,-0.03,0
6/17/19,12:53:03,,9,,3423.8349N,12108.5698W,-0.03,0
6/17/19,15:24:03,,9,,3423.8394N,12034.5298W,249.88,143.81
6/17/19,20:50:30,,zPC1,6,3433.8647N,12041.5655W,60.51,67.53
6/17/19,21:01:40,,zPC1,,3433.8320N,12041.5112W,60.54,66.45
6/17/19,21:07:07,,zPC1,,3433.8246N,12041.4904W,60.29,66.47
6/17/19,22:11:05,2,zPC2,7,3434.0309N,12046.0527W,192.54,201.26
6/17/19,22:21:14,,zPC2,,3434.0709N,12045.9634W,185.14,194.45
6/17/19,22:31:13,,zPC2,,3434.1411N,12045.9269W,-0.03,214.08
6/17/19,23:18:32,,zPC3,8,3433.8814N,12049.7068W,283.02,0
6/17/19,23:32:35,,zPC3,,3433.8001N,12049.6526W,280.52,106.32
6/18/19,0:43:16,,zPC4,9,3433.8452N,12054.3681W,496.87,0
6/18/19,0:58:52,,zPC4,,3433.8453N,12054.3669W,496.58,0
6/18/19,1:17:57,,zPC4,,3433.9617N,12054.1918W,483.46,98.59
6/18/19,6:08:31,,CTD3-4,10,3443.9586N,12102.3012W,490.1,0
6/18/19,7:22:34,,CTD3-3,11,3443.7272N,12056.3255W,306.92,0
6/18/19,8:14:48,,CTD3-2,12,3443.8110N,12051.0291W,153.56,161.8
6/18/19,9:16:27,,CTD3-1,13,3443.8475N,12041.7778W,50.17,56.16
6/18/19,13:09:24,,zPC-5,14,3434.0400N,12115.5155W,916.65,209.81
6/18/19,13:25:10,2,zPC-5,,3434.0147N,12115.4991W,921.43,0
