qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul
H5,A1,E05,gBlocks,28.562,2.366,STANDARD,20.427,100000
H5,A2,E05,gBlocks,28.211,2.016,STANDARD,20.108,100000
H5,A3,E05,gBlocks,28.422,2.227,STANDARD,20.199,100000
H5,B1,E04,gBlocks,26.267,0.071,STANDARD,23.328,10000
H5,B2,E04,gBlocks,26.081,-0.115,STANDARD,23.289,10000
H5,B3,E04,gBlocks,25.989,-0.207,STANDARD,23.48,10000
H5,C1,E03,gBlocks,26.204,0.008,STANDARD,26.893,1000
H5,C2,E03,gBlocks,25.959,-0.237,STANDARD,26.746,1000
H5,C3,E03,gBlocks,26.047,-0.149,STANDARD,26.903,1000
H5,D1,E02,gBlocks,26.243,0.047,STANDARD,30.065,100
H5,D2,E02,gBlocks,26.227,0.031,STANDARD,30.322,100
H5,D3,E02,gBlocks,26.179,-0.017,STANDARD,30.293,100
H5,E2,E01,gBlocks,26.231,0.035,STANDARD,33.366,10
H5,E3,E01,gBlocks,26.272,0.076,STANDARD,34.558,10
H5,F1,E00,gBlocks,26.184,-0.012,STANDARD,34.602,1
H5,F2,E00,gBlocks,26.293,0.097,STANDARD,37.351,1
H5,F3,E00,gBlocks,26.271,0.075,STANDARD,37.148,1
H6,A1,E05,gBlocks,29.221,2.906,STANDARD,18.833,100000
H6,A2,E05,gBlocks,30.171,3.856,STANDARD,18.48,100000
H6,A3,E05,gBlocks,30.548,4.233,STANDARD,18.462,100000
H6,B1,E04,gBlocks,26.524,0.209,STANDARD,21.683,10000
H6,B2,E04,gBlocks,26.443,0.128,STANDARD,21.481,10000
H6,B3,E04,gBlocks,25.941,-0.374,STANDARD,21.615,10000
H6,C1,E03,gBlocks,26.258,-0.057,STANDARD,25.25,1000
H6,C2,E03,gBlocks,26.129,-0.186,STANDARD,24.981,1000
H6,C3,E03,gBlocks,25.994,-0.321,STANDARD,24.83,1000
H6,D1,E02,gBlocks,26.26,-0.055,STANDARD,28.36,100
H6,D2,E02,gBlocks,26.161,-0.154,STANDARD,27.964,100
H6,D3,E02,gBlocks,26.313,-0.003,STANDARD,28.006,100
H6,E1,E01,gBlocks,26.178,-0.137,STANDARD,31.54,10
H6,E2,E01,gBlocks,26.243,-0.073,STANDARD,31.273,10
H6,E3,E01,gBlocks,26.343,0.028,STANDARD,32.188,10
H6,F1,E00,gBlocks,26.228,-0.087,STANDARD,35.734,1
H6,F2,E00,gBlocks,26.376,0.061,STANDARD,33.94,1
H6,F3,E00,gBlocks,26.26,-0.055,STANDARD,36.456,1
H7,F1,E00,gBlocks,26.448,-0.166,STANDARD,34.209,1
H7,F3,E00,gBlocks,26.65,0.036,STANDARD,35.668,1
H7,E1,E01,gBlocks,26.586,-0.028,STANDARD,31.256,10
H7,E2,E01,gBlocks,26.565,-0.049,STANDARD,31.179,10
H7,E3,E01,gBlocks,26.695,0.081,STANDARD,31.598,10
H7,D1,E02,gBlocks,26.461,-0.153,STANDARD,28.218,100
H7,D2,E02,gBlocks,26.626,0.012,STANDARD,28.301,100
H7,D3,E02,gBlocks,26.656,0.042,STANDARD,28.486,100
H7,C1,E03,gBlocks,26.501,-0.113,STANDARD,25.22,1000
H7,C2,E03,gBlocks,26.41,-0.204,STANDARD,25.085,1000
H7,C3,E03,gBlocks,26.339,-0.275,STANDARD,25.281,1000
H7,B1,E04,gBlocks,27.113,0.499,STANDARD,21.696,10000
H7,B2,E04,gBlocks,26.708,0.094,STANDARD,21.691,10000
H7,B3,E04,gBlocks,26.667,0.053,STANDARD,21.787,10000
H7,A1,E05,gBlocks,30.789,4.175,STANDARD,18.875,100000
H7,A2,E05,gBlocks,31.123,4.509,STANDARD,18.555,100000
H7,A3,E05,gBlocks,31.314,4.7,STANDARD,18.699,100000
H8,A1,E05,gBlocks,29.611,3.257,STANDARD,20.39,100000
H8,A2,E05,gBlocks,30.529,4.176,STANDARD,20.014,100000
H8,A3,E05,gBlocks,29.31,2.957,STANDARD,20.153,100000
H8,B1,E04,gBlocks,26.44,0.087,STANDARD,23.357,10000
H8,B2,E04,gBlocks,26.618,0.265,STANDARD,23.307,10000
H8,B3,E04,gBlocks,26.111,-0.242,STANDARD,23.359,10000
H8,C1,E03,gBlocks,26.276,-0.077,STANDARD,26.857,1000
H8,C2,E03,gBlocks,26.231,-0.123,STANDARD,26.713,1000
H8,C3,E03,gBlocks,26.215,-0.139,STANDARD,26.717,1000
H8,D1,E02,gBlocks,26.338,-0.015,STANDARD,30.118,100
H8,D2,E02,gBlocks,26.384,0.031,STANDARD,29.908,100
H8,D3,E02,gBlocks,26.274,-0.079,STANDARD,30.005,100
H8,E1,E01,gBlocks,26.477,0.124,STANDARD,33.592,10
H8,E2,E01,gBlocks,26.361,0.008,STANDARD,32.848,10
H8,E3,E01,gBlocks,26.343,-0.011,STANDARD,32.981,10
H8,F1,5,gBlocks,26.392,0.039,STANDARD,33.412,5
H8,F2,5,gBlocks,26.392,0.039,STANDARD,34.227,5
H8,F3,5,gBlocks,26.437,0.084,STANDARD,33.797,5
H8,G1,E00,gBlocks,26.198,-0.155,STANDARD,Undetermined,1
H8,G2,E00,gBlocks,26.407,0.054,STANDARD,Undetermined,1
H8,G3,E00,gBlocks,26.48,0.127,UNKNOWN,37.348,0.427179337
H8,H1,E00,gBlocks,26.307,-0.046,STANDARD,35.357,1
H8,H2,E00,gBlocks,26.363,0.01,STANDARD,36.358,1
H8,H3,E00,gBlocks,26.351,-0.002,STANDARD,36.353,1
