"Gridcell_ID","WM_ngdc_depth_m"
2836,-2763.96185286104
2837,-2646.89707602339
2838,-2939.07869481766
2839,-3634.74501992032
3165,-3801.75273088381
3166,-3507.45862960569
3167,-3372.90557686633
3168,-3219.81415402914
3169,-3757.60311856428
3170,-3827.6250890948
3171,-3823.54663461538
3172,-4046.16759332804
3173,-4070.04073319756
3174,-4051.33333333333
3493,-4248.98039215686
3494,-4153.13452188007
3495,-4000.01532115498
3496,-4078.34006534007
3497,-4128.42068155112
3498,-3876.67512540572
3499,-3941.63095590411
3500,-3996.78747795414
3501,-3941.85298485298
3502,-4072.83142100618
3503,-4111.03222945003
3504,-3965.12695822454
3505,-3812.51784946237
3506,-3826.28037383178
3507,-3842.22085048011
3508,-3772.0447761194
3822,-4180.38812785388
3823,-4167.90358014646
3824,-4204.60181392627
3825,-4133.11967847574
3826,-4161.04644326867
3827,-4210.3616519174
3828,-4178.23779946761
3829,-4142.13268608414
3830,-4030.11018957346
3831,-4035.69926362297
3832,-4119.24867413082
3833,-4120.27431791222
3834,-3984.47538100821
3835,-3838.78427299703
3836,-3810.16602884898
3837,-3965.30721649485
3838,-3913.080947984
3839,-3940.97099176793
3840,-3917.52845070423
3841,-3834.62133891213
3842,-3874.14678899083
4151,-4020.12331838565
4152,-4120.85406532314
4153,-4158.82765830346
4154,-4140.12780857893
4155,-4162.47345132743
4156,-4172.50193394823
4157,-4214.10987726476
4158,-4252.44733727811
4159,-4290.90922574904
4160,-4274.0707809301
4161,-4215.88760379597
4162,-4158.32262816735
4163,-4123.40582695703
4164,-4066.51861702128
4165,-3906.04875886525
4166,-3917.80129335685
4167,-3987.74844812297
4168,-4022.07338638373
4169,-4065.90542133176
4170,-4004.23040520556
4171,-3900.87992937022
4172,-3895.3280738315
4173,-3919.61039426523
4174,-3889.67314399601
4175,-3831.35931091058
4176,-3851.04672897196
4480,-4127.77493606138
4481,-4132.60135571336
4482,-4183.33833039389
4483,-4202.01648998822
4484,-4220.38312462731
4485,-4188.1027137438
4486,-4162.35228276878
4487,-4164.92291666667
4488,-4242.47556335967
4489,-4248.45344725987
4490,-4270.16430260047
4491,-4272.36615566038
4492,-4240.45993542706
4493,-4146.02846131041
4494,-4164.02058218171
4495,-3996.84758254717
4496,-3995.47609208973
4497,-3937.63840472674
4498,-4010.6079929474
4499,-4103.53805309735
4500,-4114.45255690216
4501,-4002.00911764706
4502,-3949.38572692421
4503,-3982.96196933962
4504,-3955.88754427391
4505,-3907.65182783019
4506,-3866.86324786325
4507,-3868.05193951348
4508,-3784.73623445826
4509,-3768.49794520548
4510,-3871.30441176471
4511,-3928.97777777778
4809,-4215.88695652174
4810,-4034.74027565084
4811,-4124.60099677514
4812,-4204.08592592593
4813,-4219.96090534979
4814,-4178.28554607006
4815,-4176.8083407276
4816,-4186.92995879929
4817,-4155.55202821869
4818,-4177.24933608734
4819,-4162.23698224852
4820,-4219.06789581504
4821,-4212.74556737589
4822,-4152.5949704142
4823,-4098.55829662261
