"Gridcell_ID","WM_depth_m"
278,-2352.19696969697
279,-1844.13683585634
280,-1298.30534124629
281,-1404.83793410508
282,-2338.71577071577
283,-2235.35430267062
284,-1910.79465875371
285,-2014.35411101217
286,-2118.93173048382
287,-2517.57783719548
288,-2201.11724547343
289,-1821.76715176715
290,-1927.78064707628
291,-2487.38194238194
292,-2611.71437054632
293,-2381.71199524941
294,-2392.15711315711
295,-2732.67983367983
296,-2770.52537845058
297,-2840.88865795724
298,-2838.5623885918
299,-2843.18414018414
300,-2845.20136620137
301,-2829.28317008014
302,-2715.26862570496
303,-2264.60178306092
304,-2092.73172905526
305,-1980.38223938224
306,-1402.05197505197
307,-994.150534441805
308,-791.013361045131
309,-627.629530600119
310,-420.35019932536
311,-168.034561460711
312,-70.1196372514824
313,-33.963615903976
314,-4.16552667578659
510,-4049.30824159476
511,-3542.64844683393
512,-3721.6746031746
513,-4112.83960573477
514,-4126.11140979689
515,-4222.34275618375
516,-4263.39941348974
517,-4299.14751184834
518,-4301.70017740982
519,-4272.50534441805
520,-4197.84050179211
521,-4194.76998223801
522,-4203.82955549014
523,-4251.98778307509
524,-4277.33708530806
525,-4177.4721398933
526,-4176.53351126928
527,-4194.33076467101
528,-4030.58738151659
529,-4058.54143154143
530,-4037.82597094575
531,-4075.66705951679
532,-4094.59139784946
533,-4100.52008269344
534,-4004.34487862641
535,-3943.43948855189
536,-4010.02284188668
537,-3937.09332545777
538,-3901.29640629641
539,-3870.7178041543
540,-3851.39100857734
541,-3909.95430267062
542,-3945.54200059365
543,-4005.4665482534
544,-3991.82705428656
545,-3973.81842417062
546,-3977.08840106793
547,-3980.29080118694
548,-4033.48162418494
549,-4049.37136929461
550,-4016.07888493476
551,-4029.58412322275
552,-4058.00622775801
553,-4008.75763868288
554,-3769.91530944625
555,-3692.47181008902
556,-3773.8283847981
557,-3914.8562555457
558,-3748.09382422803
559,-3406.70881567231
560,-2829.6646971935
561,-1945.75519287834
562,-1217.60516934046
563,-1973.76718009479
564,-3136.08318531676
565,-3893.64427934621
566,-3609.496
567,-3062.60432080497
568,-3016.51901366607
569,-3574.3681400178
570,-3663.48801420539
571,-3770.39893143366
572,-3873.23095167507
573,-3758.22597864769
574,-3758.61237785016
575,-3697.21212121212
576,-3537.46844444444
577,-3673.33748517201
578,-3732.84035608309
579,-3573.06725925926
580,-3643.02699495699
581,-3766.67714201008
582,-3669.27016607355
583,-3569.99465875371
584,-3597.62997032641
585,-3600.83995257854
586,-3585.242657965
587,-3575.14302670623
588,-3559.18950177936
589,-3574.83091070899
590,-3493.92761791753
591,-3440.40148367952
592,-3408.09928867813
593,-3101.77899733017
594,-2808.38646482636
595,-2753.54939187185
596,-2918.19259259259
